country,group,region,year,sdm_startdate1,sdm_enddate1,sdm_startdate2,sdm_enddate2,domclaim,domindclaim,domirrclaim,domsecclaim,sovdec,violsd,violsd_onset,viol_escal,con,cultcon,autcon,indcon,res,cultres,autres,indres,groupsize,groupcon,pwrstat
Afghanistan,Hazaras,Central Asia,1960,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1961,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1962,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1963,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1964,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1965,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1966,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1967,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1968,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1969,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1970,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1971,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1972,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1973,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1974,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1975,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1976,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1977,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1978,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1979,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Discriminated
Afghanistan,Hazaras,Central Asia,1980,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Junior partner
Afghanistan,Hazaras,Central Asia,1981,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,1,0,1,0,0,0,0,0,0.11,1,Junior partner
Afghanistan,Hazaras,Central Asia,1982,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Junior partner
Afghanistan,Hazaras,Central Asia,1983,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Junior partner
Afghanistan,Hazaras,Central Asia,1984,1960,9999,,,Autonomy,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0.11,1,Junior partner
